tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2015-560;US Open;Hard;128;G;20150831;94;106210;;;Jiri Vesely;L;;CZE;22.1409993155;48;962;103333;21;;Ivo Karlovic;R;208;CRO;36.5037645448;21;1620;7-6(3) 3-6 3-6 6-2 7-6(4);5;R64;;18;9;154;101;76;33;25;4;7;43;9;154;101;80;30;25;11;13;;;;;;;;;;;;;;;;;;;;
2015-421;Canada Masters;Hard;56;M;20150810;44;104871;;;Jeremy Chardy;R;188;FRA;28.4900752909;49;925;103333;;;Ivo Karlovic;R;208;CRO;36.4462696783;23;1495;4-6 7-6(1) 6-4;3;R16;;7;5;96;57;43;26;16;1;3;18;2;97;51;41;25;16;3;5;;;;;;;;;;;;;;;;;;;;
2013-1720;Bangkok;Hard;28;A;20130923;4;106071;;;Bernard Tomic;R;193;AUS;20.9226557153;50;880;103333;;;Ivo Karlovic;R;208;CRO;34.5681040383;80;652;6-7(3) 6-4 4-2 RET;3;R32;114;12;0;81;53;42;18;14;3;3;25;5;110;70;51;19;14;6;8;;;;;;;;;;;;;;;;;;;;
2012-404;Indian Wells Masters;Hard;96;M;20120308;7;103997;;;Lukasz Kubot;R;190;POL;29.8042436687;52;871;103333;;;Ivo Karlovic;R;208;CRO;33.015742642;42;1017;6-4 6-2;3;R128;91;3;2;53;31;25;13;9;4;4;9;3;52;34;21;9;9;4;7;;;;;;;;;;;;;;;;;;;;
2015-580;Australian Open;Hard;128;G;20150119;94;106401;;;Nick Kyrgios;R;;AUS;19.7316906229;53;830;103333;23;;Ivo Karlovic;R;208;CRO;35.8904859685;27;1365;7-6(4) 6-4 5-7 6-4;5;R64;140;24;4;119;77;60;31;22;1;2;39;6;110;74;65;23;22;4;6;;;;;;;;;;;;;;;;;;;;
2012-1536;Madrid Masters;Clay;56;M;20120506;24;103786;;;Nikolay Davydenko;R;178;RUS;30.9295003422;54;825;103333;;;Ivo Karlovic;R;208;CRO;33.1882272416;60;760;7-6(4) 6-3;3;R64;87;4;1;72;59;46;7;11;6;6;15;1;63;40;31;12;10;2;3;;;;;;;;;;;;;;;;;;;;
2012-311;Queen's Club;Grass;56;A;20120611;35;104229;;;Yen Hsun Lu;R;180;TPE;28.8268309377;57;765;103333;16;;Ivo Karlovic;R;208;CRO;33.2840520192;56;776;6-7(3) 7-6(6) 7-6(7);3;R32;171;6;3;118;80;70;20;18;5;5;35;4;117;79;70;19;18;2;2;;;;;;;;;;;;;;;;;;;;
2014-422;Cincinnati Masters;Hard;56;M;20140810;7;103794;;Q;Benjamin Becker;R;178;GER;33.1526351814;57;813;103333;;;Ivo Karlovic;R;208;CRO;35.4496919918;28;1230;7-6(5) 6-4;3;R64;81;4;3;72;51;41;12;11;2;2;17;2;64;43;39;11;11;1;2;;;;;;;;;;;;;;;;;;;;
2015-520;Roland Garros;Clay;128;G;20150524;61;104571;;;Marcos Baghdatis;R;183;CYP;29.9356605065;59;832;103333;25;;Ivo Karlovic;R;208;CRO;36.2354551677;25;1330;7-6(5) 6-4 6-4;5;R128;141;8;8;100;36;32;40;16;2;3;21;11;112;67;51;23;16;11;14;;;;;;;;;;;;;;;;;;;;
2013-2276;Zagreb;Hard;28;A;20130204;16;104471;;;Ivan Dodig;R;183;CRO;28.090349076;63;743;103333;;;Ivo Karlovic;R;208;CRO;33.9356605065;130;411;7-6(2) 6-7(2) 6-3;3;R16;110;4;0;106;90;67;9;17;4;5;22;3;88;55;47;16;16;0;2;;;;;;;;;;;;;;;;;;;;
